"time","Pop.Bighorn.BCS","Pop.Bighorn.Ejido","Demand.Permit.Ejido","Price.Permit.Ejido","Rainfall.Change","Income.From.Permits","No.Permits.Ejido","Price.Permit.Relative","No.Permits.BCS","Price.Permit.Ejido.1","Sighting.Bighorn.Ejido","RunID","FutureID","Climate.Scenario","Resilience"
24.5,170.169080606834,36.7118556066105,23.6380142731333,329.785751158893,1.17905257891529,310.676655566277,0.942056030239435,0.272904452917486,4.50335454917926,329.785751158893,2.30177526978415,"2","2","CEH_2.1","NO"
25,170.537513903842,36.7888737266683,23.8809419007475,329.302201645095,0.989852429812157,310.892784990387,0.944095676971667,0.273305187606967,4.51310476795126,329.302201645095,2.30660418407205,"2","2","CEH_2.1","NO"
25.5,170.728307060929,36.8284542978516,24.1238914939168,329.128128125559,1.09634569697481,311.076078237907,0.945151907889304,0.273449736771407,4.51815391806043,329.128128125559,2.3090858232703,"2","2","CEH_2.1","NO"
26,170.942496498807,36.8730014535087,24.3668902450419,328.91014839597,0.997614104391192,311.260060386363,0.946337660617397,0.273630961035749,4.52382222734444,328.91014839597,2.3118788594581,"2","2","CEH_2.1","NO"
26.5,170.508571405138,36.779876330494,24.6098569078437,329.87769520896,0.908761470871654,311.383251100492,0.943935451298844,0.272828388542578,4.51233883366557,329.87769520896,2.30604006156546,"2","2","CEH_2.1","NO"
27,169.873270774687,36.6437868172704,24.8526637445589,331.229618834072,0.954654507371965,311.494437122619,0.940418427008669,0.271714831290752,4.49552623778133,331.229618834072,2.29750746437474,"2","2","CEH_2.1","NO"
27.5,169.01245340881,36.4595092465203,25.0953125036812,333.028196874575,0.86428293347522,311.598812198354,0.935652942071173,0.270247386991966,4.47274556701075,333.028196874575,2.28595355220877,"2","2","CEH_2.1","NO"
28,167.133498966188,36.0573060991756,25.3376382591464,336.824981189843,0.772532025910622,311.647667605371,0.925251050276816,0.267201083726251,4.4230209166412,336.824981189843,2.26073605114024,"2","2","CEH_2.1","NO"
28.5,165.127388200177,35.6278070028103,25.579468482109,340.947965900522,0.839665322517612,311.675953663607,0.914145221076183,0.263969898639194,4.3699312013295,340.947965900522,2.23380713724927,"2","2","CEH_2.1","NO"
29,163.338040324026,35.2447524457518,25.8208773880715,344.718911460486,0.803375166290487,311.708418645811,0.90423939123381,0.261082281847239,4.32257789913504,344.718911460486,2.20979022249935,"2","2","CEH_2.1","NO"
